project_group,test_code,Prediction,Ground_Truth,Token_List
1,"@Test
public void beingStumpedOffAWideIsAllowed() {
    Ball ball = legal().extra(ExtraType.WIDE, 0)
            .wicket(new WicketEvent(Dismissal.STUMPED, ""IND1"", ""AUS5"")).build();
    assertTrue(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void beingRunOutOffANoBallIsAllowed() {
    Ball ball = legal().extra(ExtraType.NO_BALL, 0)
            .wicket(new WicketEvent(Dismissal.RUN_OUT, ""IND1"", ""AUS5"")).build();
    assertTrue(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void dismissingABatterWhoIsNotAtTheCreaseIsRejected() {
    Ball ball = legal().wicket(WicketEvent.of(Dismissal.BOWLED, ""IND7"")).build();
    assertTrue(validator.validate(ball).hasError(""not at the crease""));
}
",5,5,
1,"@Test
public void theNonStrikerCannotBeBowled() {
    Ball ball = legal().wicket(WicketEvent.of(Dismissal.BOWLED, ""IND2"")).build();
    assertTrue(validator.validate(ball).hasError(""must dismiss the striker""));
}
",5,5,
1,"@Test
public void theNonStrikerCanBeRunOut() {
    Ball ball = legal().wicket(new WicketEvent(Dismissal.RUN_OUT, ""IND2"", ""AUS5"")).build();
    assertTrue(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void runsOffTheBatOnACatchAreRejected() {
    Ball ball = legal().runsOffBat(2)
            .wicket(new WicketEvent(Dismissal.CAUGHT, ""IND1"", ""AUS5"")).build();
    assertTrue(validator.validate(ball).hasError(""credited on a catch""));
}
",5,5,
1,"@Test
public void aCleanCatchIsValid() {
    Ball ball = legal().wicket(new WicketEvent(Dismissal.CAUGHT, ""IND1"", ""AUS5"")).build();
    assertTrue(validator.validate(ball).isValid());
}
",5,5,
1,"@Test
public void severalProblemsAreAllReported() {
    Ball ball = Ball.builder().over(-1).ballInOver(0).runsOffBat(9)
            .bowler(""AUS8"").striker(""IND1"").nonStriker(""IND1"").build();
    assertTrue(validator.validate(ball).errorCount() >= 4);
}
",5,5,
1,"@Test
public void aValidDeliveryAgainstTheInningsPasses() {
    assertTrue(validator.validateAgainst(legal().build(), innings).isValid());
}
",5,5,
1,"@Test
public void aNullInningsIsRejected() {
    assertFalse(validator.validateAgainst(legal().build(), null).isValid());
}
",5,5,
1,"@Test
public void aClosedInningsIsRejected() {
    innings.close();
    assertTrue(validator.validateAgainst(legal().build(), innings).hasError(""already closed""));
}
",5,5,
1,"@Test
public void aBowlerFromTheBattingSideIsRejected() {
    Ball ball = Ball.builder().over(0).ballInOver(1)
            .bowler(""IND9"").striker(""IND1"").nonStriker(""IND2"").build();
    assertTrue(validator.validateAgainst(ball, innings).hasError(""not in the bowling side""));
}
",5,5,
1,"@Test
public void aStrikerFromTheBowlingSideIsRejected() {
    Ball ball = Ball.builder().over(0).ballInOver(1)
            .bowler(""AUS8"").striker(""AUS1"").nonStriker(""IND2"").build();
    assertTrue(validator.validateAgainst(ball, innings).hasError(""striker is not in the batting side""));
}
",5,5,
1,"@Test
public void aNonStrikerFromTheBowlingSideIsRejected() {
    Ball ball = Ball.builder().over(0).ballInOver(1)
            .bowler(""AUS8"").striker(""IND1"").nonStriker(""AUS2"").build();
    assertTrue(validator.validateAgainst(ball, innings).hasError(""non-striker is not in the batting side""));
}
",5,5,
1,"@Test
public void aFielderFromTheBattingSideIsRejected() {
    Ball ball = legal().wicket(new WicketEvent(Dismissal.CAUGHT, ""IND1"", ""IND7"")).build();
    assertTrue(validator.validateAgainst(ball, innings).hasError(""fielder is not in the bowling side""));
}
",5,5,
1,"@Test
public void aValidResultHasNoErrors() {
    ValidationResult result = validator.validate(legal().build());
    assertEquals(0, result.errorCount());
    assertNull(result.firstError());
}
",5,5,
1,"@Test
public void throwIfInvalidIsSilentWhenValid() {
    validator.validate(legal().build()).throwIfInvalid();
}
",5,5,
1,"@Test
public void throwIfInvalidRaisesWhenInvalid() {
    validator.validate(legal().runsOffBat(-1).build()).throwIfInvalid();
}
",5,5,
1,"@Test
public void anUnknownFragmentIsNotMatched() {
    assertFalse(validator.validate(legal().build()).hasError(""nonsense""));
}
",5,5,
1,"@Test
public void aNullFragmentIsNotMatched() {
    assertFalse(validator.validate(legal().runsOffBat(-1).build()).hasError(null));
}
",5,5,
1,"@Test
public void describeLeadsWithTheAddress() {
    String line = commentary.describe(ball().runsOffBat(0).build(), ""Cummins"", ""Kohli"");
    assertTrue(line.startsWith(""12.3 ""));
}
",5,5,
1,"@Test
public void describeNamesBothPlayers() {
    String line = commentary.describe(ball().runsOffBat(0).build(), ""Cummins"", ""Kohli"");
    assertTrue(line.contains(""Cummins to Kohli""));
}
",5,5,
1,"@Test
public void describeEndsWithTheOutcome() {
    String line = commentary.describe(ball().runsOffBat(4).build(), ""Cummins"", ""Kohli"");
    assertTrue(line.endsWith(""FOUR""));
}
",5,5,
1,"@Test
public void aMissingBowlerNameFallsBack() {
    String line = commentary.describe(ball().runsOffBat(0).build(), null, ""Kohli"");
    assertTrue(line.contains(""unknown to Kohli""));
}
",5,5,
1,"@Test
public void aBlankStrikerNameFallsBack() {
    String line = commentary.describe(ball().runsOffBat(0).build(), ""Cummins"", ""   "");
    assertTrue(line.contains(""to unknown""));
}
",5,5,
1,"@Test
public void describingANullBallIsRejected() {
    commentary.describe(null, ""Cummins"", ""Kohli"");
}
",5,5,
1,"@Test
public void theOutcomeOfANullBallIsRejected() {
    commentary.outcome(null);
}
",5,5,
1,"@Test
public void aDotBallReadsAsNoRun() {
    assertEquals(""no run"", commentary.outcome(ball().runsOffBat(0).build()));
}
",5,5,
1,"@Test
public void aSingleIsRenderedInTheSingular() {
    assertEquals(""1 run"", commentary.outcome(ball().runsOffBat(1).build()));
}
",5,5,
1,"@Test
public void twoRunsAreRenderedInThePlural() {
    assertEquals(""2 runs"", commentary.outcome(ball().runsOffBat(2).build()));
}
",5,5,
1,"@Test
public void threeRunsAreRenderedInThePlural() {
    assertEquals(""3 runs"", commentary.outcome(ball().runsOffBat(3).build()));
}
",5,5,
1,"@Test
public void aBoundaryIsShouted() {
    assertEquals(""FOUR"", commentary.outcome(ball().runsOffBat(4).build()));
}
",5,5,
1,"@Test
public void aSixIsShouted() {
    assertEquals(""SIX"", commentary.outcome(ball().runsOffBat(6).build()));
}
",5,5,
1,"@Test
public void aPlainWideIsNamed() {
    assertEquals(""wide"", commentary.outcome(ball().extra(ExtraType.WIDE, 0).build()));
}
",5,5,
1,"@Test
public void aWideWithRunsMentionsThem() {
    assertEquals(""wide, 4 more"", commentary.outcome(ball().extra(ExtraType.WIDE, 4).build()));
}
",5,5,
1,"@Test
public void aPlainNoBallIsNamed() {
    assertEquals(""no ball"", commentary.outcome(ball().extra(ExtraType.NO_BALL, 0).build()));
}
",5,5,
1,"@Test
public void aNoBallHitForRunsMentionsThem() {
    String line = commentary.outcome(ball().extra(ExtraType.NO_BALL, 0).runsOffBat(6).build());
    assertEquals(""no ball, 6 off it"", line);
}
",5,5,
1,"@Test
public void oneByeIsRenderedInTheSingular() {
    assertEquals(""1 bye"", commentary.outcome(ball().extra(ExtraType.BYE, 1).build()));
}
",5,5,
1,"@Test
public void multipleByesAreRenderedInThePlural() {
    assertEquals(""3 byes"", commentary.outcome(ball().extra(ExtraType.BYE, 3).build()));
}
",5,5,
1,"@Test
public void oneLegByeIsRenderedInTheSingular() {
    assertEquals(""1 leg bye"", commentary.outcome(ball().extra(ExtraType.LEG_BYE, 1).build()));
}
",5,5,
1,"@Test
public void multipleLegByesAreRenderedInThePlural() {
    assertEquals(""2 leg byes"", commentary.outcome(ball().extra(ExtraType.LEG_BYE, 2).build()));
}
",5,5,
1,"@Test
public void penaltyRunsAreNamed() {
    assertEquals(""5 penalty runs"", commentary.outcome(ball().extra(ExtraType.PENALTY, 5).build()));
}
",5,5,
1,"@Test
public void beingBowledIsAnnounced() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.BOWLED, ""IND3"")).build();
    assertEquals(""OUT, bowled"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void anLbwIsAnnounced() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.LBW, ""IND3"")).build();
    assertEquals(""OUT, lbw"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void aCatchNamesTheFielder() {
    Ball b = ball().wicket(new WicketEvent(Dismissal.CAUGHT, ""IND3"", ""Carey"")).build();
    assertEquals(""OUT, caught by Carey"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void aStumpingNamesTheKeeper() {
    Ball b = ball().wicket(new WicketEvent(Dismissal.STUMPED, ""IND3"", ""Carey"")).build();
    assertEquals(""OUT, stumped by Carey"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void aRunOutNamesTheFielder() {
    Ball b = ball().wicket(new WicketEvent(Dismissal.RUN_OUT, ""IND3"", ""Maxwell"")).build();
    assertEquals(""OUT, run out by Maxwell"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void hitWicketIsAnnounced() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.HIT_WICKET, ""IND3"")).build();
    assertEquals(""OUT, hit wicket"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void obstructingTheFieldIsAnnounced() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.OBSTRUCTING_THE_FIELD, ""IND3"")).build();
    assertEquals(""OUT, obstructing the field"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void retiringOutIsNotShouted() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.RETIRED_OUT, ""IND3"")).build();
    assertEquals(""retired out"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void timedOutIsAnnounced() {
    Ball b = ball().wicket(WicketEvent.of(Dismissal.TIMED_OUT, ""IND3"")).build();
    assertEquals(""OUT, timed out"", commentary.outcome(b));
}
",5,5,
1,"@Test
public void aWicketOutranksTheRunsOnTheDelivery() {
    Ball b = ball().runsOffBat(1)
            .wicket(new WicketEvent(Dismissal.RUN_OUT, ""IND3"", ""Maxwell"")).build();
    assertTrue(commentary.outcome(b).startsWith(""OUT""));
}
",5,5,
1,"@Test
public void thereIsNoMilestoneBelowFifty() {
    assertNull(commentary.milestone(""Kohli"", 49, 40));
}
",5,5,
1,"@Test
public void fiftyIsAMilestone() {
    String line = commentary.milestone(""Kohli"", 50, 34);
    assertTrue(line.contains(""FIFTY""));
    assertTrue(line.contains(""34 balls""));
}
",5,5,
1,"@Test
public void ninetyNineIsStillAFifty() {
    assertTrue(commentary.milestone(""Kohli"", 99, 70).contains(""FIFTY""));
}
",5,5,
1,"@Test
public void oneHundredIsAHundred() {
    assertTrue(commentary.milestone(""Kohli"", 100, 71).contains(""HUNDRED""));
}
",5,5,
1,"@Test
public void twoHundredIsADoubleHundred() {
    assertTrue(commentary.milestone(""Kohli"", 200, 150).contains(""DOUBLE HUNDRED""));
}
",5,5,
1,"@Test
public void theMilestoneNamesTheBatter() {
    assertTrue(commentary.milestone(""Kohli"", 50, 34).startsWith(""Kohli""));
}
",5,5,
1,"@Test
public void endOfOverCountsFromOne() {
    assertTrue(commentary.endOfOver(0, 6, 6, 0).startsWith(""End of over 1""));
}
",5,5,
1,"@Test
public void endOfOverReportsTheScore() {
    assertTrue(commentary.endOfOver(11, 8, 97, 3).contains(""97/3""));
}
",5,5,
1,"@Test
public void oneRunInAnOverIsRenderedInTheSingular() {
    assertTrue(commentary.endOfOver(4, 1, 30, 1).contains(""(1 run)""));
}
",5,5,
1,"@Test
public void severalRunsInAnOverAreRenderedInThePlural() {
    assertTrue(commentary.endOfOver(4, 12, 41, 1).contains(""(12 runs)""));
}
",5,5,
1,"@Test
public void aMaidenOverReadsAsZeroRuns() {
    assertTrue(commentary.endOfOver(4, 0, 29, 1).contains(""(0 runs)""));
}
",5,5,
1,"@Test
public void fullFiftyOverInningsIsOneHundredPercent() {
    assertEquals(100.0, dls.resourcePercentage(50, 0), 1e-6);
}
",5,5,
1,"@Test
public void noOversRemainingIsZeroResource() {
    assertEquals(0.0, dls.resourcePercentage(0, 0), EPS);
}
",5,5,
1,"@Test
public void noOversRemainingIsZeroWhateverTheWickets() {
    for (int w = 0; w <= 9; w++) {
        assertEquals(0.0, dls.resourcePercentage(0, w), EPS);
    }
}
",5,5,
1,"@Test
public void resourceIncreasesWithOversRemaining() {
    double previous = -1.0;
    for (int overs = 0; overs <= 50; overs += 5) {
        double current = dls.resourcePercentage(overs, 0);
        assertTrue(""resource should rise with overs at "" + overs, current > previous);
        previous = current;
    }
}
",5,5,
1,"@Test
public void resourceDecreasesAsWicketsFall() {
    double previous = Double.MAX_VALUE;
    for (int w = 0; w <= 9; w++) {
        double current = dls.resourcePercentage(25, w);
        assertTrue(""resource should fall as wickets go at "" + w, current < previous);
        previous = current;
    }
}
",5,5,
1,"@Test
public void resourceNeverExceedsOneHundred() {
    for (int overs = 0; overs <= 50; overs++) {
        for (int w = 0; w <= 9; w++) {
            assertTrue(dls.resourcePercentage(overs, w) <= 100.0 + EPS);
        }
    }
}
",5,5,
1,"@Test
public void resourceIsNeverNegative() {
    for (int overs = 0; overs <= 50; overs++) {
        for (int w = 0; w <= 9; w++) {
            assertTrue(dls.resourcePercentage(overs, w) >= -EPS);
        }
    }
}
",5,5,
1,"@Test
public void halfTheOversLeavesMoreThanHalfTheResource() {
    assertTrue(dls.resourcePercentage(25, 0) > 50.0);
}
",5,5,
1,"@Test
public void nineWicketsDownIsALowResourceEvenWithOversLeft() {
    assertTrue(dls.resourcePercentage(50, 9) < 30.0);
}
",5,5,
1,"@Test
public void negativeOversAreRejected() {
    dls.resourcePercentage(-1, 0);
}
",5,5,
1,"@Test
public void moreThanFiftyOversAreRejected() {
    dls.resourcePercentage(51, 0);
}
",5,5,
1,"@Test
public void negativeWicketsAreRejected() {
    dls.resourcePercentage(50, -1);
}
",5,5,
1,"@Test
public void tenWicketsIsRejected() {
    dls.resourcePercentage(50, 10);
}
",5,5,
1,"@Test
public void resourceUsedIsTheDifferenceBetweenStartAndEnd() {
    double used = dls.resourceUsed(50, 20, 3);
    double expected = dls.resourcePercentage(50, 0) - dls.resourcePercentage(20, 3);
    assertEquals(expected, used, EPS);
}
",5,5,
1,"@Test
public void anUninterruptedInningsUsesAllItsResource() {
    assertEquals(100.0, dls.resourceUsed(50, 0, 0), 1e-6);
}
",5,5,
1,"@Test
public void equalResourcesLeaveTheTargetOneAboveTheScore() {
    assertEquals(251, dls.revisedTarget(250, 100.0, 100.0));
}
",5,5,
1,"@Test
public void fewerResourcesScaleTheTargetDown() {
    int target = dls.revisedTarget(250, 100.0, 50.0);
    assertEquals(126, target);
}
",5,5,
1,"@Test
public void moreResourcesRaiseTheTargetUsingG50() {
    int target = dls.revisedTarget(250, 50.0, 100.0);
    assertEquals(250 + (int) Math.floor(DlsCalculator.G50 * 0.5) + 1, target);
}
",5,5,
1,"@Test
public void targetIsAlwaysAtLeastOne() {
    assertTrue(dls.revisedTarget(0, 100.0, 100.0) >= 1);
}
",5,5,
1,"@Test
public void negativeFirstInningsScoreIsRejected() {
    dls.revisedTarget(-1, 100.0, 100.0);
}
",5,5,
1,"@Test
public void zeroResourceForTeamOneIsRejected() {
    dls.revisedTarget(250, 0.0, 100.0);
}
",5,5,
1,"@Test
public void zeroResourceForTeamTwoIsRejected() {
    dls.revisedTarget(250, 100.0, 0.0);
}
",5,5,
1,"@Test
public void parScoreIsZeroBeforeAnyResourceIsUsed() {
    assertEquals(0, dls.parScore(251, 100.0, 100.0));
}
",5,5,
1,"@Test
public void parScoreIsTheFullChaseWhenAllResourceIsUsed() {
    assertEquals(250, dls.parScore(251, 100.0, 0.0));
}
",5,5,
1,"@Test
public void parScoreIsHalfTheChaseAtTheHalfwayPoint() {
    assertEquals(125, dls.parScore(251, 100.0, 50.0));
}
",5,5,
1,"@Test
public void parScoreRejectsATargetBelowOne() {
    dls.parScore(0, 100.0, 50.0);
}
",5,5,
1,"@Test
public void aheadOfParIsTrueWhenScoreExceedsPar() {
    assertTrue(dls.isAheadOfPar(130, 125));
}
",5,5,
1,"@Test
public void levelWithParIsNotAhead() {
    assertFalse(dls.isAheadOfPar(125, 125));
}
",5,5,
1,"@Test
public void behindParIsNotAhead() {
    assertFalse(dls.isAheadOfPar(120, 125));
}
",5,5,
1,"@Test
public void oversRemainingCountsDownFromTheLimit() {
    assertEquals(50.0, dls.oversRemaining(50, 0), EPS);
    assertEquals(40.0, dls.oversRemaining(50, 60), EPS);
    assertEquals(25.0, dls.oversRemaining(50, 150), EPS);
}
",5,5,
1,"@Test
public void oversRemainingHandlesAPartOver() {
    assertEquals(49.5, dls.oversRemaining(50, 3), EPS);
}
",5,5,
1,"@Test
public void oversRemainingNeverGoesNegative() {
    assertEquals(0.0, dls.oversRemaining(20, 200), EPS);
}
",5,5,
1,"@Test
public void oversRemainingRejectsAZeroLimit() {
    dls.oversRemaining(0, 10);
}
",5,5,
1,"@Test
public void oversRemainingRejectsNegativeBalls() {
    dls.oversRemaining(50, -1);
}
",5,5,
1,"@Test
public void aFreshManagerHasNoLastBowler() {
    assertNull(t20.getLastOverBowlerId());
}
",5,5,
1,"@Test
public void aFreshManagerHasNoOversRecorded() {
    assertEquals(0, t20.totalOvers());
    assertEquals(0, t20.oversBowledBy(""AUS8""));
}
",5,5,
1,"@Test
public void anyBowlerMayOpen() {
    assertTrue(t20.canBowlNextOver(""AUS8""));
}
",5,5,
1,"@Test
public void recordingAnOverIncrementsTheTally() {
    t20.recordCompletedOver(""AUS8"");
    assertEquals(1, t20.oversBowledBy(""AUS8""));
    assertEquals(1, t20.totalOvers());
}
",5,5,
1,"@Test
public void recordingAnOverSetsTheLastBowler() {
    t20.recordCompletedOver(""AUS8"");
    assertEquals(""AUS8"", t20.getLastOverBowlerId());
}
",5,5,
1,"@Test
public void aBowlerMayNotBowlConsecutiveOvers() {
    t20.recordCompletedOver(""AUS8"");
    assertFalse(t20.canBowlNextOver(""AUS8""));
}
",5,5,
1,"@Test
public void anotherBowlerMayFollow() {
    t20.recordCompletedOver(""AUS8"");
    assertTrue(t20.canBowlNextOver(""AUS9""));
}
",5,5,
1,"@Test
public void aBowlerMayReturnAfterOneOverFromTheOtherEnd() {
    t20.recordCompletedOver(""AUS8"");
    t20.recordCompletedOver(""AUS9"");
    assertTrue(t20.canBowlNextOver(""AUS8""));
}
",5,5,
1,"@Test
public void t20CapsBowlersAtFourOvers() {
    assertEquals(4, t20.maxOversPerBowler());
}
",5,5,
1,"@Test
public void odiCapsBowlersAtTenOvers() {
    assertEquals(10, new OverManager(MatchFormat.ODI).maxOversPerBowler());
}
",5,5,
1,"@Test
public void testCricketHasNoCap() {
    assertEquals(-1, test.maxOversPerBowler());
}
",5,5,
1,"@Test
public void reachingTheCapBlocksFurtherOvers() {
    for (int i = 0; i < 4; i++) {
        t20.recordCompletedOver(""AUS8"");
        t20.recordCompletedOver(""AUS9"");
    }
    assertTrue(t20.hasReachedCap(""AUS8""));
    assertFalse(t20.canBowlNextOver(""AUS8""));
}
",5,5,
1,"@Test
public void aBowlerBelowTheCapIsNotBlocked() {
    t20.recordCompletedOver(""AUS8"");
    t20.recordCompletedOver(""AUS9"");
    assertFalse(t20.hasReachedCap(""AUS8""));
}
",5,5,
1,"@Test
public void oversRemainingCountsDownToTheCap() {
    assertEquals(4, t20.oversRemainingFor(""AUS8""));
    t20.recordCompletedOver(""AUS8"");
    assertEquals(3, t20.oversRemainingFor(""AUS8""));
}
",5,5,
1,"@Test
public void oversRemainingIsUnboundedInTests() {
    assertEquals(-1, test.oversRemainingFor(""AUS8""));
}
",5,5,
1,"@Test
public void aTestBowlerIsNeverCapped() {
    for (int i = 0; i < 30; i++) {
        test.recordCompletedOver(""AUS8"");
        test.recordCompletedOver(""AUS9"");
    }
    assertFalse(test.hasReachedCap(""AUS8""));
}
",5,5,
1,"@Test
public void aValidBowlerHasNoRejectionReason() {
    assertNull(t20.rejectionReason(""AUS8""));
}
",5,5,
1,"@Test
public void backToBackOversAreExplained() {
    t20.recordCompletedOver(""AUS8"");
    assertNotNull(t20.rejectionReason(""AUS8""));
    assertTrue(t20.rejectionReason(""AUS8"").contains(""previous over""));
}
",5,5,
1,"@Test
public void reachingTheCapIsExplained() {
    for (int i = 0; i < 4; i++) {
        t20.recordCompletedOver(""AUS8"");
        t20.recordCompletedOver(""AUS9"");
    }
    assertTrue(t20.rejectionReason(""AUS8"").contains(""limit""));
}
",5,5,
1,"@Test
public void aBlankBowlerIsExplained() {
    assertNotNull(t20.rejectionReason(""""));
    assertNotNull(t20.rejectionReason(null));
}
",5,5,
1,"@Test
public void aBlankBowlerMayNotBowl() {
    assertFalse(t20.canBowlNextOver(null));
    assertFalse(t20.canBowlNextOver(""  ""));
}
",5,5,
1,"@Test
public void recordingAnIllegalOverIsRejected() {
    t20.recordCompletedOver(""AUS8"");
    t20.recordCompletedOver(""AUS8"");
}
",5,5,
1,"@Test
public void resetClearsEverything() {
    t20.recordCompletedOver(""AUS8"");
    t20.reset();
    assertEquals(0, t20.totalOvers());
    assertNull(t20.getLastOverBowlerId());
    assertTrue(t20.canBowlNextOver(""AUS8""));
}
",5,5,
1,"@Test
public void replayCountsOnlyCompletedOvers() {
    ScoringEngine engine = new ScoringEngine();
    Innings innings = Fixtures.openedInnings();
    for (int i = 1; i <= 6; i++) {
        engine.apply(innings, Fixtures.delivery(innings, 0, i).runsOffBat(0).build());
    }
    engine.apply(innings, firstBallOfOver(innings, 1));
    t20.replay(innings);
    assertEquals(1, t20.totalOvers());
}
",5,5,
1,"@Test
public void replayIsIdempotent() {
    ScoringEngine engine = new ScoringEngine();
    Innings innings = Fixtures.openedInnings();
    for (int i = 1; i <= 6; i++) {
        engine.apply(innings, Fixtures.delivery(innings, 0, i).runsOffBat(0).build());
    }
    t20.replay(innings);
    t20.replay(innings);
    assertEquals(1, t20.totalOvers());
}
",5,5,
1,"@Test
public void replayRecoversTheLastBowler() {
    ScoringEngine engine = new ScoringEngine();
    Innings innings = Fixtures.openedInnings();
    for (int i = 1; i <= 6; i++) {
        engine.apply(innings, Fixtures.delivery(innings, 0, i).runsOffBat(0).build());
    }
    t20.replay(innings);
    assertEquals(""AUS8"", t20.getLastOverBowlerId());
}
",5,5,
1,"@Test
public void aNullFormatIsRejected() {
    new OverManager(null);
}
",5,5,
1,"@Test
public void theFormatIsRetained() {
    assertEquals(MatchFormat.T20, t20.getFormat());
}
",5,5,
1,"@Test
public void bowledLastOverTracksTheMostRecentBowler() {
    t20.recordCompletedOver(""AUS8"");
    assertTrue(t20.bowledLastOver(""AUS8""));
    assertFalse(t20.bowledLastOver(""AUS9""));
}
",5,5,
1,"@Test
public void anUnknownBowlerHasNotBowledLastOver() {
    assertFalse(t20.bowledLastOver(""AUS8""));
}
",5,5,
1,"@Test
public void dotBallLeavesScoreUnchanged() {
    ScoringResult result = bowl(0, 1, 0);
    assertEquals(0, innings.getScoreCard().getTotalRuns());
    assertTrue(result.isDot());
}
",5,5,
1,"@Test
public void singleAddsOneRunToTheTeamTotal() {
    bowl(0, 1, 1);
    assertEquals(1, innings.getScoreCard().getTotalRuns());
}
",5,5,
1,"@Test
public void boundaryAddsFourRuns() {
    bowl(0, 1, 4);
    assertEquals(4, innings.getScoreCard().getTotalRuns());
}
",5,5,
1,"@Test
public void sixAddsSixRuns() {
    bowl(0, 1, 6);
    assertEquals(6, innings.getScoreCard().getTotalRuns());
}
",5,5,
1,"@Test
public void runsOffBatAreCreditedToTheStriker() {
    String striker = innings.getStrikerId();
    bowl(0, 1, 4);
    assertEquals(4, innings.getScoreCard().battingLine(striker).getRuns());
}
",5,5,
1,"@Test
public void boundaryIsCountedAsAFour() {
    String striker = innings.getStrikerId();
    bowl(0, 1, 4);
    assertEquals(1, innings.getScoreCard().battingLine(striker).getFours());
}
",5,5,
1,"@Test
public void sixIsCountedAsASix() {
    String striker = innings.getStrikerId();
    bowl(0, 1, 6);
    assertEquals(1, innings.getScoreCard().battingLine(striker).getSixes());
}
",5,5,
1,"@Test
public void legalDeliveryAdvancesTheBallCount() {
    bowl(0, 1, 0);
    assertEquals(1, innings.getScoreCard().getLegalBalls());
}
",5,5,
